director_id,name
851880931,Stuart Paton
852240766,Richard Martin
852440292,Jacob Vaughan
854439709,Shozin Fukui
856707929,Charles Laughton
857104314,Michael Austin
859687042,Arto Halonen
860057628,Peter Strickland
860727795,Lev Kuleshov
860812031,Scott Jeralds
866445440,Corey Allen
869633981,Menno Meyjes
870088579,David S. Ward
870465594,Michael Dowse
872924123,Juan José Campanella
873777029,Frank Miller
874114358,Julius Onah
874554144,Ruairi Robinson
876189782,Bill Paxton
876843465,Chris Bould
878680464,Benjamin Ross
878833248,Alan Myerson
879442058,Zal Batmanglij
881262217,Robin Budd
881567473,Jimmy T. Murakami
884262547,Fumihiko Sori
884585101,Bill Duke
885537477,Brett Leonard
888248988,Jason Winer
888703903,Steno
889085511,Bob Swaim
891327610,Gregory Hoblit
892025183,Leonard Nimoy
893091421,Sean Fine
893215027,Jordan Walker-Pearlman
893885159,Jack Bender
896832207,Andrew Birkin
899786184,Todd Louiso
902538750,Jon Erwin
902956702,Simon Curtis
903135683,Matt Reeves
904289008,Josef Fares
904356297,Dan Bush
906370721,Seiji Mizushima
906746695,Barbra Streisand
907176927,Larry Leker
910087987,Frédéric Back
911211490,Craig Moss
911394167,Jason Moore
912046111,Bob Spiers
913126421,Byron Haskin
913314154,Michael Blieden
913691322,Albert Brooks
915245425,Ed Decter
916653170,Sam Taylor-Johnson
917091895,Léa Fazer
917798778,Grant Baldwin
923551681,Joachim Rønning
923890402,Rodrigo Cortés
925124537,John Polson
926455289,L.Q. Jones
927343597,Colin Trevorrow
927690730,Christopher Ray
928070447,Sam Liu
929700152,Richie Mehta
929826379,Tab Murphy
930741924,Jay Roach
932964842,Ken Wheat
933212167,Roger Gnoan M'Bala
934809604,Jonathan Lynn
937032913,Bryan Lefler
938207057,Bert I. Gordon
938492644,Tuck Tucker
940282282,Ridley Scott
943026381,Evan Goldberg
943420809,Yahoo Serious
943544029,Robert Townsend
943894594,Alexander Hall
943944697,Kevin Connor
944568483,Drew Barrymore
946693338,Jacques Tati
948484666,Mike Flanagan
950804822,Florian Weigensamer
951504940,Julien Temple
951926039,Joe Charbanic
951991368,David Gordon Green
952273515,Olli Saarela
952447469,Terry Jones
955093375,David F. Sandberg
955639794,Alexander Witt
959035266,Josh Kornbluth
959554686,Tom Brady
959616906,David LaChapelle
960841445,Mick Garris
962000341,Farhad Mann
963383615,Ivan Nagy
963468074,Dan Aykroyd
964264472,Tim Johnson
965262801,Yuri Norstein
965420017,Colin Chilvers
966324061,Trey Edward Shults
967521853,Jasmin Dizdar
968458645,Lee Unkrich
969570516,Ray Yeung
969597385,Steven Kampmann
970057270,Gil Junger
971824571,Kelly Asbury
972453530,Vladimir Menshov
972971726,Fran Rubel Kuzui
974429243,Thornton Freeland
975234949,Robert S. Fiveson
977264774,Takahiro Omori
982673223,Stephen Hillenburg
984156793,Patrick Stettner
985295642,Morgan Spurlock
987726516,Holger Haase
988787911,D. Kerry Prior
990033504,Lisa Barros D'Sa
990176116,Paul Wendkos
990613150,Jean-Pierre Melville
991492530,Robert Butler
992747385,Judd Apatow
995184425,Oren Moverman
995867357,Takeshi Nozue
996460342,James D.R. Hickox
996932889,Alain Berliner
1000652640,Don Michael Paul
1001513144,Michael McGowan
1001754990,George Tillman Jr.
1002091362,Richard LaGravenese
1003052940,Marc Rothemund
1003537834,Jon M. Chu
1003877203,David Jacobson
1003878648,Peter H. Hunt
1006360218,Cristian Mungiu
1009413421,Peter Ramsey
1009734696,Brad McGann
1011108519,Maz Jobrani
1013416442,Futoshi Higashide
1014195599,Eric Schaeffer
1017697956,Robert Florey
1018558828,Ben Hardaway
1018892464,Jacques Audiard
1019540049,Jon Avnet
1019686497,Art Linson
1020038062,Élie Chouraqui
1020754405,Franco Zeffirelli
1022987798,Arnold Glassman
1024065017,Álex de la Iglesia
1024726276,Stacy Title
1025116821,Andrew Lau Wai-Keung
1029486140,Luis Estrada
1029977307,Jean-Luc Godard
1030716341,Chang Cheh
1032938257,Robert M. Young
1033703748,Andy Muschietti
1034351269,Lou Adler
1035118065,Toyoo Ashida
1035414709,Demian Lichtenstein
1037357255,Samantha Futerman
1037379808,Simon Dixon
1038860471,Jacques Doillon
1038865676,Ernie Barbarash
1039057737,Louis Malle
1040196680,Emilio Martínez Lázaro
1041047416,Scott Stewart
1045486392,Craig Roberts
1046367842,Dane Cook
1047253463,Norman Foster
1047356454,Tim Reid
1047897344,Jake Scott
1048237685,Tom Shankland
1048891564,Mennan Yapo
1049246653,Luc Jacquet
1049840085,Claude Zidi
1051154363,James Frawley
1051613391,Daniel Mann
1051842642,Marc Rocco
1052196744,Declan Lowney
1052449237,Thomas Schlamme
1053124283,Peter Mullan
1054739611,Lenny Abrahamson
1057611281,Gary Goldman
1059890707,Nick Castle
1060123175,David Mamet
1060309505,Chris Morris
1060468773,James Strong
1063716600,James Wong
1063747330,Melanie Mayron
1065721208,Lewis Teague
1066471114,Elvis Restaino
1069057122,Saul Metzstein
1069952150,Adam McKay
1070006147,Alan Cohn
1070481407,Robert Duvall
1072081815,Walt Becker
1074255336,Inessa Kovalevskaya
1074469607,David Nutter
1075582776,Roland Emmerich
1075606808,John Madden
1076243771,Alastair Fothergill
1076504626,Pip Karmel
1076829019,Garry Marshall
1077327067,James Ward Byrkit
1077329826,Todd Rohal
1077470420,Çağan Irmak
1078440789,Hiroyuki Yamaga
1080405549,James Lapine
1081486702,Mark Osborne
1084153336,Michael Steinberg
1086912374,Jafar Panahi
1086934024,Don Argott
1087286488,Lasse Hallström
1087565699,Kaneto Shindō
1088197940,Joe Layton
1089435744,Deborah Brock
1090852840,Tevfik Fikret Uçak
1091498693,Paul Mazursky
1092302011,Tze Chun
1092469093,Carl Theodor Dreyer
1094023841,David Levien
1094106093,Bill Forsyth
1096927046,Mitchell Leisen
1098148837,Makoto Shinkai
1099093188,Jeffrey Nachmanoff
1100156830,Guy Hamilton
1102458687,Walter Salles
1103197181,Sean McNamara
1104082240,Peter Kosminsky
1104085002,Richard Compton
1104854344,Jean Vigo
1105513019,John Schultz
1105654568,Greg Marcks
1106413877,Marshall Brickman
1106452922,Larry Clark
1106774685,Jan Pinkava
1107730424,Mark Steven Johnson
1107895795,Ken Russell
1108203128,Richard Linklater
1109687853,George Clooney
1110147181,Enzo G. Castellari
1110981027,Gregg Bishop
1112395741,Martyn Burke
1112624103,Manny Rodriguez
1113366159,Henry Selick
1114479687,Roy William Neill
1116317851,Mark Pavia
1117005660,Danny O'Connor
1117043812,Julie Delpy
1117102295,Reginald Hudlin
1117783683,Scott Reynolds
1120224379,Tom Noonan
1120764716,Jim Gillespie
1121097465,Tommy Wiseau
