actor_id,name
137697820,Al Nazemian
138004263,John D'Leo
138752117,Mark-Paul Gosselaar
139746505,Vinícius de Oliveira
139789970,Stan Shaw
140166358,Chuck Jeffreys
140483178,Lisa Simone
140790496,Pavel Olenev
140967724,Leven Rambin
140968387,Robynn Hayek
141009190,Rosana Pastor
141040610,Patrick Houser
141057914,Carlo Ninchi
141427878,Hattie Jacques
141430837,Mongo Brownlee
141535243,Calvin Lee Reeder
141585866,Alfred Mrva
141834562,Viktor Andriienko
142352734,Lou Hancock
142390896,Pascale Bussières
142997805,Frank Albertson
143701497,Renato Capogna
143832658,Cassandra Magrath
144072434,Urbano Barberini
144247917,Joan Severance
144361361,Monica Potter
144412855,Shawnee Smith
144683685,Sibylle Canonica
144721360,Devon Anderson
145028278,Stella Stevens
145051282,Bernhard Wicki
145103567,Maureen O'Hara
145230423,Otávio Augusto
145359641,Anton Shagin
145809139,Carey Means
145939607,Jack Mercer
146185958,James Caan
146515567,Adam Pawlikowski
146532087,Àstrid Bergès-Frisbey
146737966,Annabella Sciorra
146897230,Élodie Yung
147298091,Myles Pollard
147349599,Sabine Karsenti
147380653,Shawna Waldron
147615354,Chun Woo-hee
147794562,Jack Holt
148024634,Andre Braugher
148294402,YOUNG DAIS
148706197,Kevin Dunn
148966477,Lane Carroll
149291907,Rebecca Pidgeon
149430089,Frankie Pain
149561344,Valentine Camax
149962668,Ryo Ishibashi
150156127,D.W. Brown
150306926,Tom Schilling
150776879,Dan Anderson
150783047,Lisa Eilbacher
151115047,Ryan Pope
151745355,Carina Lau
151882324,Aleksandr Pankratov-Chyornyy
151958067,Isabelle Adjani
152289133,James Chen
152314922,Nazanin Boniadi
152404011,Mauno Alasuutari
152515315,Scott Rowland
152954463,Claudia Gerini
153310855,Pau Poch
153437993,Dudley Findlay Jr.
153505889,Anne Tenney
153877361,Barbara Steele
153916260,Josh Potthoff
154046176,Riisa Naka
154089748,Tara Flynn
154095123,Russ Banham
155246540,Trevor Moore
155334947,Dieudonné
155625676,Adewale Akinnuoye-Agbaje
155755494,Fulani Bahati
155845414,Charlie Chaplin
156573436,Rick Gonzalez
156720884,Marc Anthony
157262051,Christian Byers
158077752,Robert Prescott
158238500,Mandy Musgrave
158268654,John Sparkes
158599984,Eric Chadbourne
159055940,Deborah Rosan
159268377,Vitali Solomin
159487359,Brenda Cooney
159854350,Alexz Johnson
160639559,Tim Considine
161093325,Kim Walker
161155848,Ann Wedgeworth
161550631,Sonja Jeannine
161719143,Takeru Satoh
161783964,Jack Kruschen
163262297,Tony Robinson
163446275,Anna Falchi
163476686,Marilu Henner
163984792,Tyler Hilton
164002065,Niu Ben
164384270,Reiko Aylesworth
164424154,Dario Cantarelli
164438721,Joe Chrest
164471419,Leonard Roberts
165187621,Helen Chandler
165196076,David Andar
165325305,James T. Mack
165496332,Tiffany Paulsen
165656525,Jo Prestia
165712938,Patricia Moffatt
165839091,April Kent
165892393,Brandon Routh
166065703,Jet Li
166591128,Takuya Ishida
166956091,Samuel Bottomley
167911927,William Mapother
167920867,Nijiko Kiyokawa
168070760,Tracy Smith
168467192,Natalie Mendoza
168560811,Mitchell Whitfield
168582950,Isao Kimura
168645094,Ilka Grüning
168655111,Paul Gleason
168823587,Craig Sheffer
168918969,Nikita Khrushchev
169058680,Daley Pearson
169236413,Ruth Marshall
169347611,Daniel Baldwin
169492287,Golshifteh Farahani
169868372,David Lyons
170134357,Angelo Rossitto
170167992,Emma Graves
170210952,Lynne Koplitz
170339289,Edward Walsh
170493962,Jean Arthur
170602103,Sabrina Artel
171093845,Vincent Perez
171198491,Tracey Cherelle Jones
171226286,Mark Blum
171967896,Philippe Torreton
172081887,Gurgon Kyap
172120530,Choi Woo-shik
172197972,Teresa Ann Savoy
172489351,Stuart Robinson
172915415,Agneta Eckemyr
173188065,Bruno S.
173428266,Adam Lustick
173646029,Heather Langenkamp
173674556,Alicia Keys
173748989,Rose Hobart
173989658,Larry Flynt
174108035,Art Parkinson
174180544,Valerie Pachner
174790361,Richard Travis
175046835,Julia Sweeney
175321842,Þrúður Vilhjálmsdóttir
175571479,Eduardo Ciannelli
175615910,Mike Myers
176181082,Dorothy Tutin
176306763,Thi Loc Truong
176486143,Shohreh Aghdashloo
176569365,Richard Romanus
176888367,Osa Massen
176968211,Zhang Fengyi
177066004,Fennie Yuen Kit-Ying
177221891,Anna Faris
177291061,Frank Morgan
177375188,Frédéric Gorny
177389778,Elaine Stewart
177537834,Gustaf Hammarsten
177706967,Tim Roth
177834097,Sakke Järvenpää
178528883,John F. Street
178534643,Paolo Rotondo
178751722,Izumi Sawada
178912201,Alle Ghadban
179158121,Nobuo Kaneko
179181771,Maxwell McCabe-Lokos
179366182,Mélanie Thierry
179378468,Pere Ponce
179761593,Jordi Padrosa
179999532,Carol Kane
180180983,Lachy Hulme
180352816,Franz-Otto Krüger
180378978,Nina Wadia
180628036,Shirley Turner
180776167,Michael Faustino
180856600,Danny Lloyd
180930523,Cathy Steinberg
180952245,Scott Baio
181392845,Luis Guzmán
181674713,Bill Oberst Jr.
182176471,Lysiane Meis
182243971,Ron Eldard
182428311,Christian Bale
183256970,Mindy Robinson
183434975,Stephen Dorff
183480908,Sarah Peirse
183961834,Megan Ward
184155481,Manis
184458331,Ewen Leslie
184879505,Federica Brion
184889408,Lourdes de Oliveira
184916039,John Nolan
185088040,Darry Cowl
186080131,Barbara Bain
186199944,Raymond Bailey
186255065,Patricia Hayes
186411326,Gert Fröbe
186547956,Naveen Andrews
186740582,Agnė Grudytė
186940152,Serhiy Pidhornyi
186963380,Jim Mallon
187103843,Michael Wincott
187443481,Greg Grunberg
187745550,Olivia D'Abo
187859487,Akio Otsuka
188157144,Ai Hashimoto
188303601,Aki Takejo
188520187,Park Sung-woong
188713211,Roy Dotrice
188842958,Bill Basch
189033157,Édouard Montoute
